MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MoSold,SaleType,SalePrice,GarageAge,PropertyAge,RemodAge
60_20,FV_RL_RH,14115.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Others,0.0,3,3,PConc,3,3,1,5,296.0,6,547.0,230.0,GasA_GasW,5,1,SBrkr,1811.0,0.0,0.0,0,0,1,0,2,5,6,Typ,1,4,Attchd,3,2,3,3,1,0.0,0.0,280.0,0.0,0.0,0.0,0,7,Others,230000.0,50.0,50.0,48.0
60_20,FV_RL_RH,14154.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,350.0,4,3,PConc,5,4,1,1,0.0,1,0.0,1063.0,GasA_GasW,5,1,SBrkr,1071.0,1101.0,0.0,0,0,2,1,3,4,9,Typ,1,4,Attchd,2,3,3,3,1,192.0,62.0,0.0,0.0,0.0,0.0,0,8,New,280000.0,1.0,1.0,0.0
60_20,Others,6565.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,4,6,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,6,967.0,1,0.0,106.0,GasA_GasW,4,1,Others,1073.0,0.0,0.0,1,0,1,0,3,3,6,Typ,0,0,Others,1,2,3,3,1,0.0,444.0,0.0,0.0,0.0,0.0,0,8,Others,140000.0,22.0,50.0,23.0
60_20,FV_RL_RH,7700.0,1,4,Others,Others,PosA_PosN_RRNn,Norm,1Fam_TwnhsE,1Story_2Story,6,5,Others,CompShg,Others,Others,Others,351.0,3,3,Others,3,3,1,1,0.0,1,0.0,756.0,GasA_GasW,3,1,SBrkr,1051.0,788.0,0.0,0,0,1,1,4,3,7,Typ,1,3,Attchd,1,2,3,3,1,0.0,124.0,216.0,0.0,0.0,0.0,0,6,Others,155000.0,44.0,44.0,0.0
Others,Others,4761.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,3,3,Others,CompShg,Others,Others,Others,0.0,2,2,Others,3,2,1,1,0.0,1,0.0,1020.0,GasA_GasW,2,0,Others,1020.0,0.0,0.0,0,0,1,0,2,2,5,Typ,0,0,Others,0,0,0,0,0,0.0,0.0,105.0,0.0,0.0,0.0,0,10,Others,64500.0,0.0,88.0,32.0
60_20,FV_RL_RH,12361.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,85.0,4,4,PConc,4,3,1,6,860.0,1,0.0,86.0,GasA_GasW,5,1,SBrkr,964.0,838.0,0.0,0,1,2,1,3,4,8,Typ,1,4,,2,4,3,3,1,450.0,92.0,0.0,0.0,0.0,0.0,0,5,Others,218000.0,10.0,17.0,0.0
Others,FV_RL_RH,9720.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,5,7,Others,CompShg,Others,VinylSd_CemntBd_Stone_ImStucc,Others,51.0,3,3,Others,3,5,3,5,755.0,1,0.0,240.0,GasA_GasW,3,1,SBrkr,1009.0,0.0,0.0,0,0,2,0,3,3,6,Typ,1,2,Others,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6,Others,160000.0,30.0,30.0,0.0
60_20,FV_RL_RH,8640.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,6,24.0,1,0.0,1314.0,GasA_GasW,5,1,SBrkr,1338.0,0.0,0.0,0,0,2,0,3,4,6,Typ,0,0,Attchd,2,2,3,3,1,0.0,141.0,0.0,0.0,0.0,0.0,0,11,New,208900.0,0.0,0.0,0.0
60_20,FV_RL_RH,47007.0,1,3,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,7,Others,CompShg,Others,Others,Others,0.0,3,3,Others,0,0,0,0,0.0,0,0.0,0.0,GasA_GasW,3,1,SBrkr,3820.0,0.0,0.0,0,0,3,1,5,5,11,Typ,2,4,Attchd,1,2,3,3,1,0.0,372.0,0.0,0.0,0.0,0.0,0,7,Others,284700.0,49.0,49.0,37.0
Others,FV_RL_RH,3180.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,689.0,GasA_GasW,5,1,SBrkr,703.0,689.0,0.0,0,0,2,0,2,4,5,Typ,0,0,Others,1,2,3,3,1,0.0,102.0,0.0,0.0,0.0,0.0,0,3,Others,146000.0,1.0,1.0,0.0
120,FV_RL_RH,14963.0,1,2,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Others,CompShg,Others,Others,Others,0.0,4,3,PConc,4,3,1,6,786.0,1,0.0,474.0,GasA_GasW,5,1,SBrkr,1288.0,0.0,0.0,1,0,1,1,1,5,4,Typ,2,4,Attchd,3,2,3,3,1,120.0,30.0,0.0,0.0,224.0,0.0,0,12,Others,245500.0,12.0,12.0,0.0
Others,Others,5000.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,6,7,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,1,0.0,1,0.0,992.0,GasA_GasW,5,1,SBrkr,1013.0,0.0,0.0,0,0,1,0,3,3,6,Typ,0,0,Others,1,1,2,3,1,0.0,0.0,101.0,0.0,0.0,0.0,0,4,Others,113000.0,82.0,82.0,24.0
60_20,FV_RL_RH,16870.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Hip,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,238.0,4,3,PConc,5,3,4,6,1531.0,1,0.0,251.0,GasA_GasW,5,1,SBrkr,1782.0,0.0,0.0,1,0,2,0,3,4,7,Typ,2,4,Attchd,3,3,3,3,1,99.0,82.0,0.0,0.0,0.0,0.0,0,4,Others,296000.0,5.0,5.0,1.0
60_20,FV_RL_RH,14157.0,1,3,HLS_Low,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,9,5,Hip,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Stone,200.0,4,3,PConc,5,3,4,6,1249.0,1,0.0,673.0,GasA_GasW,5,1,SBrkr,1922.0,0.0,0.0,1,0,2,0,3,4,8,Typ,1,4,Attchd,3,3,3,3,1,178.0,51.0,0.0,0.0,0.0,0.0,0,7,Others,377426.0,2.0,2.0,1.0
60_20,FV_RL_RH,12456.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,10,5,Hip,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Stone,230.0,5,3,PConc,5,3,4,6,1172.0,1,0.0,528.0,GasA_GasW,5,1,SBrkr,1718.0,0.0,0.0,1,0,2,0,3,5,7,Typ,1,4,Attchd,3,3,3,3,1,216.0,48.0,0.0,0.0,0.0,0.0,0,7,Others,337500.0,1.0,3.0,1.0
60_20,FV_RL_RH,14836.0,1,3,HLS_Low,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,10,5,Hip,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Stone,730.0,5,3,PConc,5,3,4,6,2146.0,1,0.0,346.0,GasA_GasW,5,1,SBrkr,2492.0,0.0,0.0,1,0,2,1,2,5,8,Typ,1,5,Attchd,3,3,3,3,1,226.0,235.0,0.0,0.0,0.0,0.0,0,2,Others,552000.0,5.0,5.0,1.0
Others,FV_RL_RH,6956.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,4,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,4,Others,2,3,2,1,0.0,1,0.0,624.0,GasA_GasW,5,1,SBrkr,624.0,312.0,0.0,0,0,1,0,3,3,5,Typ,0,0,Attchd,1,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4,Others,97900.0,58.0,58.0,2.0
60_20,FV_RL_RH,7862.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,6,27.0,1,0.0,1191.0,GasA_GasW,5,1,SBrkr,1218.0,0.0,0.0,0,0,2,0,2,4,4,Typ,0,0,Attchd,3,2,3,3,1,0.0,102.0,0.0,0.0,0.0,0.0,0,9,New,208300.0,0.0,0.0,0.0
60_20,FV_RL_RH,11050.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,4,3,2,1,0.0,1,0.0,910.0,GasA_GasW,5,1,SBrkr,910.0,910.0,0.0,0,0,2,1,3,4,8,Typ,1,3,Attchd,1,3,3,3,1,318.0,32.0,0.0,0.0,0.0,0.0,0,9,Others,213000.0,12.0,12.0,1.0
60_20,FV_RL_RH,8924.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,4,3,3,1,0.0,1,0.0,880.0,GasA_GasW,5,1,SBrkr,880.0,844.0,0.0,0,0,2,1,3,4,8,Typ,0,0,Attchd,3,2,3,3,1,120.0,155.0,0.0,0.0,0.0,0.0,0,7,Others,188000.0,10.0,10.0,1.0
60_20,FV_RL_RH,9610.0,1,3,Others,Others,Others,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Hip,CompShg,Others,Others,Others,632.0,3,3,Others,3,3,1,3,203.0,1,0.0,918.0,GasA_GasW,5,1,Others,1336.0,0.0,0.0,0,0,1,1,3,3,7,Typ,1,3,Attchd,2,2,3,3,1,80.0,0.0,0.0,0.0,0.0,0.0,0,12,Others,162000.0,48.0,48.0,0.0
Others,Others,13710.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,4,420.0,1,0.0,490.0,GasA_GasW,3,1,Others,910.0,648.0,0.0,0,0,1,1,4,3,6,Typ,0,0,Attchd,1,1,3,3,1,289.0,0.0,0.0,0.0,0.0,0.0,0,6,Others,152000.0,57.0,57.0,0.0
60_20,FV_RL_RH,12552.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,6,222.0,1,0.0,769.0,GasA_GasW,5,1,SBrkr,991.0,956.0,0.0,0,0,2,1,3,4,8,Typ,1,4,Attchd,2,2,3,3,1,0.0,136.0,0.0,0.0,0.0,0.0,0,5,Others,254900.0,6.0,6.0,1.0
60_20,FV_RL_RH,14565.0,1,2,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,145.0,4,3,PConc,4,3,3,6,537.0,1,0.0,295.0,GasA_GasW,5,1,SBrkr,832.0,825.0,0.0,0,0,2,1,3,4,6,Typ,0,0,Attchd,2,2,3,3,1,144.0,74.0,0.0,0.0,0.0,0.0,0,11,Others,189000.0,14.0,14.0,1.0
60_20,FV_RL_RH,18559.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Hip,CompShg,Others,Others,Others,383.0,4,4,Others,4,3,1,6,1206.0,3,186.0,656.0,GasA_GasW,3,1,SBrkr,2064.0,0.0,0.0,1,0,2,0,3,4,7,Typ,2,2,Attchd,3,2,3,3,1,200.0,0.0,0.0,0.0,0.0,0.0,0,8,Others,235000.0,30.0,30.0,0.0
Others,FV_RL_RH,10880.0,1,4,Others,LowerQuan,Norm,Norm,Others,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,5,1040.0,1,0.0,124.0,GasA_GasW,3,0,SBrkr,1164.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Others,1,1,3,3,1,0.0,48.0,0.0,0.0,0.0,0.0,0,8,Others,125000.0,58.0,58.0,0.0
120,FV_RL_RH,2280.0,1,4,Others,Others,Norm,Norm,Others,1Story_2Story,7,6,Others,CompShg,Others,Others,Others,0.0,3,3,Others,4,3,1,1,0.0,1,0.0,836.0,GasA_GasW,5,1,SBrkr,836.0,0.0,0.0,0,0,1,0,2,3,4,Typ,0,0,Attchd,1,1,3,3,1,0.0,30.0,0.0,0.0,0.0,0.0,0,6,Others,120000.0,35.0,35.0,0.0
60_20,Others,31250.0,1,4,Others,Others,Others,Norm,1Fam_TwnhsE,1Story_2Story,1,3,Others,CompShg,Others,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,2,Others,0,0,0,0,0.0,0,0.0,0.0,GasA_GasW,3,1,Others,1600.0,0.0,0.0,0,0,1,1,3,3,6,Others,0,0,Attchd,1,1,2,3,0,0.0,0.0,135.0,0.0,0.0,0.0,0,5,Others,81500.0,55.0,55.0,0.0
Others,FV_RL_RH,11841.0,0,4,Others,LowerQuan,Norm,Norm,Others,Others,6,5,Others,CompShg,Others,Others,Others,104.0,3,4,Others,4,3,3,6,816.0,1,0.0,0.0,GasA_GasW,3,1,SBrkr,816.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Others,0,0,0,0,1,0.0,32.0,0.0,0.0,0.0,0.0,0,5,Others,118500.0,0.0,17.0,0.0
60_20,FV_RL_RH,9187.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,9,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Stone,162.0,5,3,PConc,5,3,2,6,1121.0,1,0.0,645.0,GasA_GasW,5,1,SBrkr,1766.0,0.0,0.0,1,0,2,1,2,5,7,Typ,1,4,Attchd,3,3,3,3,1,195.0,130.0,0.0,0.0,0.0,0.0,0,10,New,370878.0,0.0,0.0,0.0
Others,FV_RL_RH,6270.0,1,4,HLS_Low,Others,Norm,Norm,Others,1Story_2Story,5,6,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,4,284.0,1,0.0,717.0,GasA_GasW,3,0,Others,1001.0,1001.0,0.0,0,0,2,0,4,3,8,Typ,0,0,,1,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,8,Others,145000.0,58.0,58.0,1.0
Others,FV_RL_RH,15660.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,7,9,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,312.0,4,4,Others,3,3,1,4,341.0,1,0.0,457.0,GasA_GasW,5,1,SBrkr,1137.0,817.0,0.0,0,1,1,1,3,4,8,Typ,2,3,Attchd,1,2,3,3,1,0.0,119.0,150.0,0.0,0.0,0.0,0,5,Others,311500.0,69.0,69.0,67.0
120,FV_RL_RH,3087.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,14.0,4,3,PConc,4,3,3,6,453.0,1,0.0,767.0,GasA_GasW,5,1,SBrkr,1364.0,0.0,0.0,1,0,2,0,2,4,6,Typ,1,4,Attchd,3,2,3,3,1,100.0,16.0,0.0,0.0,0.0,0.0,0,11,New,210250.0,0.0,0.0,0.0
60_20,FV_RL_RH,13450.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,6,700.0,1,0.0,216.0,GasA_GasW,5,1,SBrkr,920.0,941.0,0.0,1,0,2,1,3,4,8,Typ,0,0,BuiltIn,2,2,3,3,1,146.0,91.0,0.0,0.0,0.0,0.0,0,6,Others,200000.0,4.0,4.0,0.0
Others,FV_RL_RH,10125.0,1,4,Others,Others,Norm,Norm,Others,Others,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,0,0,0,0,0.0,0,0.0,0.0,GasA_GasW,3,1,SBrkr,1302.0,432.0,0.0,0,0,2,0,4,4,8,Typ,0,0,Attchd,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,8,Others,126000.0,32.0,32.0,0.0
Others,FV_RL_RH,8146.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,4,8,Others,CompShg,Others,Others,Others,0.0,4,4,Others,2,3,1,1,0.0,1,0.0,405.0,GasA_GasW,4,1,SBrkr,717.0,322.0,0.0,0,0,1,0,2,3,6,Typ,0,0,Others,1,1,3,3,0,0.0,0.0,168.0,0.0,111.0,0.0,0,5,Others,114000.0,69.0,109.0,103.0
Others,Others,9600.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,4,4,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,4,Others,2,3,1,1,0.0,1,0.0,677.0,GasA_GasW,3,1,SBrkr,833.0,677.0,0.0,0,0,2,0,3,4,7,Typ,0,0,Others,1,2,3,3,0,0.0,0.0,160.0,0.0,0.0,0.0,0,6,Others,87500.0,35.0,99.0,40.0
60_20,FV_RL_RH,12328.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Hip,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Stone,146.0,4,3,PConc,5,3,2,6,986.0,1,0.0,163.0,GasA_GasW,5,1,SBrkr,1164.0,1377.0,0.0,1,0,3,1,4,5,10,Typ,1,4,BuiltIn,3,3,3,3,1,120.0,32.0,0.0,0.0,0.0,0.0,0,7,Others,349265.0,2.0,2.0,0.0
60_20,FV_RL_RH,10141.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Others,Others,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,264.0,4,3,PConc,4,3,4,4,516.0,3,774.0,222.0,GasA_GasW,5,1,SBrkr,1512.0,0.0,0.0,0,0,2,0,3,4,6,Typ,0,0,Attchd,2,3,3,3,1,210.0,36.0,0.0,0.0,0.0,0.0,0,1,Others,203000.0,5.0,5.0,0.0
60_20,FV_RL_RH,8529.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,6,20.0,1,0.0,1434.0,GasA_GasW,5,1,SBrkr,1434.0,0.0,0.0,0,0,2,0,3,4,6,Typ,1,3,Attchd,2,2,3,3,1,290.0,39.0,0.0,0.0,0.0,0.0,0,4,Others,189000.0,8.0,8.0,0.0
60_20,FV_RL_RH,8127.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,1,6,410.0,1,0.0,402.0,GasA_GasW,5,1,SBrkr,812.0,841.0,0.0,1,0,2,1,3,4,6,Typ,0,0,Attchd,2,2,3,3,1,0.0,45.0,0.0,0.0,0.0,0.0,0,3,Others,209000.0,6.0,6.0,0.0
Others,Others,8400.0,1,4,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,6,7,Others,CompShg,Others,Others,Others,0.0,3,3,Others,2,4,2,1,0.0,1,0.0,917.0,GasA_GasW,4,1,Others,1090.0,917.0,0.0,0,0,2,0,3,5,8,Typ,0,0,Others,1,1,3,3,1,0.0,235.0,0.0,0.0,0.0,0.0,0,6,Others,160000.0,79.0,109.0,50.0
60_20,FV_RL_RH,10751.0,1,3,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,44.0,3,3,Others,2,3,4,5,787.0,1,0.0,250.0,GasA_GasW,3,1,SBrkr,1037.0,0.0,0.0,1,0,1,0,2,3,5,Typ,0,0,Attchd,2,2,3,3,1,136.0,47.0,0.0,0.0,0.0,0.0,0,8,Others,129000.0,33.0,33.0,0.0
60_20,FV_RL_RH,10010.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,4,3,3,5,1071.0,2,123.0,195.0,GasA_GasW,4,1,SBrkr,1389.0,0.0,0.0,1,0,1,0,2,3,6,Typ,1,3,Attchd,2,2,3,3,1,240.0,38.0,0.0,0.0,0.0,0.0,0,4,Others,170000.0,31.0,32.0,1.0
Others,FV_RL_RH,4280.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,6,Others,CompShg,Others,Others,Others,0.0,3,3,PConc,3,3,1,2,365.0,1,0.0,75.0,GasA_GasW,3,0,SBrkr,694.0,0.0,0.0,0,0,1,0,2,4,4,Typ,1,4,Others,1,1,4,3,0,0.0,0.0,34.0,0.0,0.0,0.0,0,3,Others,90350.0,17.0,94.0,89.0
Others,FV_RL_RH,9600.0,1,4,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,Others,6,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,1,0.0,1,0.0,572.0,Others,2,0,Others,572.0,524.0,0.0,0,0,1,0,2,3,5,Typ,0,0,Others,0,0,0,0,0,0.0,8.0,128.0,0.0,0.0,0.0,0,4,Others,79000.0,0.0,84.0,26.0
60_20,FV_RL_RH,9800.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,3,3,1,5,894.0,1,0.0,0.0,GasA_GasW,3,1,SBrkr,894.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Attchd,1,2,3,3,1,256.0,0.0,0.0,0.0,0.0,0.0,0,7,Others,149900.0,31.0,34.0,0.0
60_20,FV_RL_RH,7560.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Hip,CompShg,Others,Others,Others,0.0,3,3,Others,4,3,1,3,119.0,5,613.0,132.0,GasA_GasW,3,1,SBrkr,864.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Others,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5,Others,123000.0,31.0,37.0,0.0
Others,Others,9600.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,4,2,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,2,1,1,0.0,1,0.0,1095.0,GasA_GasW,2,0,SBrkr,1095.0,679.0,0.0,1,0,2,0,4,3,8,Others,0,0,,1,3,2,2,0,0.0,0.0,90.0,0.0,0.0,0.0,0,5,Others,87000.0,86.0,106.0,50.0
Others,FV_RL_RH,9880.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,6,6,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,3,5,522.0,1,0.0,574.0,GasA_GasW,3,1,SBrkr,1118.0,0.0,0.0,1,0,1,0,3,3,6,Typ,1,1,Attchd,3,1,3,3,1,203.0,0.0,0.0,0.0,0.0,576.0,4,7,Others,171000.0,31.0,31.0,0.0
Others,FV_RL_RH,9600.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,6,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,Others,3,3,1,4,280.0,1,0.0,752.0,GasA_GasW,3,1,Others,1032.0,220.0,0.0,0,0,1,0,3,3,6,Typ,0,0,Attchd,1,1,3,3,1,0.0,0.0,96.0,0.0,0.0,0.0,0,4,Others,119000.0,58.0,58.0,0.0
60_20,FV_RL_RH,7931.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Hip,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,4,1148.0,1,0.0,0.0,GasA_GasW,3,1,SBrkr,1148.0,0.0,0.0,1,0,1,0,3,3,6,Typ,0,0,Attchd,1,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7,Others,132500.0,50.0,50.0,0.0
Others,Others,5100.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,7,Hip,CompShg,Others,Others,Others,0.0,3,4,PConc,3,3,1,1,0.0,1,0.0,588.0,GasA_GasW,2,1,SBrkr,833.0,833.0,0.0,0,0,1,0,3,4,7,Typ,1,4,Others,1,1,3,3,1,192.0,63.0,0.0,0.0,0.0,0.0,0,6,Others,161000.0,83.0,83.0,71.0
60_20,FV_RL_RH,9720.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,9,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,134.0,4,3,PConc,4,3,2,6,1194.0,1,0.0,163.0,GasA_GasW,5,1,SBrkr,1366.0,581.0,0.0,1,0,2,1,3,4,7,Typ,1,3,BuiltIn,3,3,3,3,1,168.0,116.0,0.0,0.0,0.0,0.0,0,1,Others,274000.0,7.0,7.0,1.0
60_20,FV_RL_RH,8521.0,1,4,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,5,842.0,1,0.0,70.0,GasA_GasW,3,1,SBrkr,912.0,0.0,0.0,0,0,1,0,3,3,5,Typ,1,2,Others,1,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5,Others,125000.0,36.0,43.0,0.0
